Region,Partner Name,Trade Flow,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
Europe & Central Asia,"Korea, Rep.",Export,2991695.91,3974410.37,4647781.62,5099360.78,6809479.98,13206725.86,16746137.48,20388572.44,17721402.13,10218490.23,13135772.72,18180792.07,16548716.03,19580688.02,21659601.54,26697764.44,30088142.56,34336045.27,44124604.78,51232388.26,41185802.37,52602134.76,63935627.88,70776131.02,74284889.86,82453338.71,72309587.32,64317091.39,74638326.24,85148126.73,77782080.85,75009848.92,,,
Europe & Central Asia,Singapore,Export,2423432.64,3189332.67,2972310.24,4237174.93,7385156.15,12229362.28,15492381.01,17331941.29,16603887.28,12926858.05,14119492.58,16213157.44,15335246.97,15362554.85,17830227.78,21716873.63,24363926.95,28528913.09,32577535.92,39444654.82,33887816.94,39285712.38,45139913.9,48802448.44,54549777.21,54177457.2,44741436.32,44489509.16,50594817.48,54244602.77,48595484.61,41345089.87,,,
Europe & Central Asia,Thailand,Export,1498390.37,2223773.04,2655569.17,3306901.24,4926754.75,8087224.14,11185761.66,11415414.68,9458276.93,5789041.79,5406923.06,6957517.59,8002153.01,7701556.07,8425810.95,10387667.06,11764551.07,11217705.12,12610979.76,18315239.96,13686111.26,17333865.29,20700511.75,27615365.49,31051717.7,22647555.73,18826507.67,18482701.66,21686924.83,23110070.86,20481059.41,17415785.59,,,
Europe & Central Asia,Malaysia,Export,963516.97,1396317.54,1770934.49,2255320,3755802.68,7048822.7,10386236.26,9839607.96,10405731.94,6126240.28,7188659.39,8773005.08,9276652.91,8881885.64,10649232.49,11562913.04,12312891.38,13860846.48,16762860.42,18654684.79,15056323.16,16913587.76,19003812.61,20996939.36,22327632.81,23257484.9,18058855.27,17807523.21,20115548.68,21100190.54,19872205.65,16863629.83,,,
Europe & Central Asia,Vietnam,Export,37099.21,43147.12,89599.15,105437.24,307264.31,813011.28,1019584.59,1845209.7,1736840.75,1522150.64,1435631.72,1537953.65,1872641.66,2521274.59,3270105.08,4379246.94,4119204.24,4816995.39,6640644.38,7876679.74,7457218.02,8131440.96,9066386.81,9129721.75,11679856.77,9919153.43,11126220.8,13300601.48,15516381.4,17078555.62,15811824.21,13611920.18,,,
Middle East & North Africa ,Japan,Export,1361256.7,9619.55,484187.66,2484213.19,2064635.09,7545453.73,9574420.28,8679589.87,6050110.27,2506568.47,16266065.44,11317551.49,14612445.42,21749194.11,27982694.33,34917644.18,60137099.54,69610411.7,62534278.11,65634117.25,20568633.14,27562349.51,36895084.01,41044270.3,46396451.4,40904349.3,19397753.93,15091152.94,16460425.99,18662046.72,18015002.51,11571666.55,,,
Middle East & North Africa ,"Korea, Rep.",Export,1132410.5,16075.92,52540.27,1598101.87,1272401.26,1059443.29,1672050.51,741315.68,1608835.49,1314067.85,1812710.65,4426528.7,5025917.58,4622364.93,3659237.54,5399985.57,7565500.63,10895322.2,12684155.32,21820172.49,12871774.38,18954309.64,28006571.44,28052190.98,32394490.95,30421351.5,16979427.32,15221543.44,20139630.92,20669467.76,14781879.41,9739760,,,
Middle East & North Africa ,Singapore,Export,205236.91,12908.47,146888.48,523752.21,623722.66,479852.14,919832.82,754691.23,782757.84,891104.03,1085051,2423230.57,2500373.99,2801035.39,2785862.56,3949648,4903390.54,6115838.2,7962476.99,11393011.55,7394500.78,11956413.6,16488884.17,14735056.93,15195488.11,16168277.69,10266505.5,10193480.7,13611365.28,15006824.42,13292717.51,9422050.34,,,
Middle East & North Africa ,United States,Export,109448.55,16768.37,11384888.75,12948495.33,9781014.77,9508265.21,16444299.31,18423846.42,10524636.8,11443258.03,22682408.98,18623324.82,17495511.07,18467352.87,21610079.94,27264531.71,32128273.64,39477690.18,45364866.74,48985787.78,33823142.51,41227441.97,43762792.85,39504690.6,32637824.59,32951450.72,30967462.42,33898180.62,37545722.01,33932573.89,31726656.61,27121997.44,,,
Middle East & North Africa ,Thailand,Export,45578.69,1013.36,140677.31,446409.62,422290.91,586056.46,914731.96,493494.1,1673975.09,1373667.31,1644659.89,1906330.68,2083924.77,2474007.17,1229293.14,4519286.94,4958370.51,5768113.4,7055452.48,8405130.43,5816228.43,6457202.04,8593278.07,6554777.45,7270008.96,6383612.3,4898211.02,4764899.21,5726638.72,6627271.63,5568803.06,3544902.61,,,
Middle East & North Africa ,Germany,Export,2500.44,3069.28,619729.06,1222604.49,1387809.29,2596707.94,3515514.14,3651051.5,3319440.79,3431078.95,4090106.08,4461972.46,3841510.93,4139538.93,3703531.16,4081053.38,5595484.7,4988824.81,8736577.57,11173972.05,7867118.26,8524486.53,7319161.66,6242248.83,6726212.53,7321492.94,6199454.67,6518149.13,7786160.38,9162350.05,8300436.36,5545317.79,,,
Middle East & North Africa ,China,Export,1951.19,8.84,271637.26,515073.77,537224.59,587813.42,927007.07,227162.56,1537132.19,906056.74,1164686.59,4186505.02,2869088.5,3104447.72,2409575.42,8713431.88,10858931.22,11991699.91,14244838.85,22159663.71,17730337.42,30208941.58,40259271.24,26425292.49,36497009.14,38300129.79,27726355.7,28961536.28,35978324.07,47093049.15,35164759.05,30803595.5,,,
Middle East & North Africa ,Malaysia,Export,55.34,71.71,25622.8,81559.18,68346.02,75896.28,103799.11,160371.29,196342.86,173740.55,191567.84,1208741.78,1232886.61,756816.1,811447.22,492577.77,476508.67,1268090.81,1011012.83,1723589.4,752036.71,2784906.94,3960410.58,3691129.25,4639876.99,5197703.79,4635978.82,3798007.17,3502710.68,4797034.58,3127376.26,3315976.71,,,
Middle East & North Africa ,Austria,Export,38.09,0.88,3976.52,212594.24,91055.91,196052.39,226560.44,268809.37,309731.57,193826.27,166356.99,158652.15,136715.74,135011.29,157022.03,212826.03,178722.54,215356.74,234304.02,423216.03,254900.75,608065.81,438808.38,419604.96,447345.56,528268.63,485324.75,469182.74,508613.85,662473.57,531584.36,382661.55,,,
Middle East & North Africa ,Vietnam,Export,NaN,NaN,130861.22,7310.64,3137.24,21297.1,43865.81,29112.21,6837.59,38967.74,29941.17,82623.78,103114.85,104500.7,134123.87,133426.51,187378.13,316991.84,286026.55,531520.67,662682.84,913680.19,1518420.74,1880325.42,2118305.16,2343539.79,3304081.08,3123693.84,2026032.96,2113987,1999706.5,1905574.49,,,
Middle East & North Africa ,Japan,Import,354432.32,455345.7,5363363.19,6777605.95,5721452.14,4640079.27,5239370.8,4826043.67,4494565.01,7153308.15,9323099.23,11089131.09,11787570.51,12650709.2,14738429.58,17177533.68,18558909.07,23040870.11,29603201.9,39613305.6,25145238.6,33027782.83,29758543.76,33881464.78,32980347.32,33750674.79,33661274.09,30194732.37,29523074.42,29795565.38,27975528.77,22023099.9,,,
Middle East & North Africa ,United States,Import,190824.56,250796.67,6876364.93,9555438.27,9030886.43,9725670.7,16691398.88,17057964.3,10634221.9,17506889.84,19788859.45,21294891.68,22225736.6,22018069.19,21040906.76,25836254.19,28053435.82,33577624.03,45292620.81,58242477.76,46666936.59,54390301.32,61708666.23,73103958.65,72992743.06,76164578.57,74548643.01,70408802.1,73223668.13,74685347.98,73277438.36,55122480.02,,,
Middle East & North Africa ,Germany,Import,124017.7,130050.71,3447679.94,4700067.04,4213072.21,5544260.77,9150234.78,8546775.47,9230282.21,11322676.13,12812569.39,13930317.79,16000161.6,18129095.61,19568798.44,23854184.94,25876105.57,25570728.43,32945445.15,41048980.7,33868503.17,43413087.74,41668806.08,44085763.94,48935924.14,53241319.15,51409078.01,50454505.79,52336798.09,41985677.7,37509113.29,31526248.41,,,
Middle East & North Africa ,Singapore,Import,31566.5,50744.37,377104.6,398302.7,390946.84,311562.69,713373.05,580219.92,553147.03,876572.67,1217424.36,1757191.57,1715271.81,1654379.21,1918020.57,2407627.84,2877074.77,3147108.46,3809630.29,4155421.68,3301142.65,5412451.15,4908369.73,4999699.26,6695326.81,5926314.59,5454173.22,5295024.08,6240903.17,5728665.23,5812147.97,4845147.29,,,
Middle East & North Africa ,"Korea, Rep.",Import,26735.68,25722.6,1031774.07,1177615.88,1104033.98,1011874.41,1877924.16,1701857.32,1597445.64,3169835.43,3862648.28,5371879.56,6413844.84,6681150.12,8334000.73,9222040.47,9784995.01,9948276.74,14316139.12,19085944.61,16920123.11,24122924.8,27093742.14,27764825.31,27376792.78,31902737.51,28636188.08,24715388.68,25742313.04,19719556.68,14535358.14,12984002.29,,,
Middle East & North Africa ,Malaysia,Import,20587.79,25273.96,365684.63,444827.82,520457.4,496689.11,724078.4,617095.33,641460.41,820836.83,1172974.15,1367220.41,1707923.49,1892035.95,2444949.31,3083335.41,3632566.11,4250967.81,5209347.67,7579132.34,6009349.18,7856790.46,8326586.58,9245957.63,7515671.88,7697063.41,6625901.5,6047101.48,7009556.27,6662555.08,5980030.2,4588061.29,,,
