ReporterName,PartnerName,TradeFlow,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
United States,Thailand,Import,7926796.288,8982299.648,10799177.73,11854380.03,11798392.83,13055708.16,13970534.4,15155534.85,16385318.16,14727188.83,15676223.76,16104256.24,18647532.46,21032805.21,23684861.32,23792955.29,24608981.76,19863863.81,23624244.2,25751271.32,26066838.76,26168824.64,28026524.57,29627418.39,30464026.3,32219330.89,33026619.94,34778833.7,39221175.68
United States,Vietnam,Import,7.993,,54614.672,210019.376,341684.512,412600.544,596040.768,654818.432,821430.464,1052858.983,2584729.536,4909551.803,5726298.654,7207120.752,9265019.927,11425322.91,13853633.48,13038309.11,15888133.95,18456988.14,20267676.97,24654014.02,32011177.84,39692685.56,43747875.47,48421110.34,51277489.49,69385153.23,83211920.32
United States,Australia,Export,8912373.76,8271585.792,9779895.296,10788362.24,11991572.48,12040757.25,11928925.18,11810612.22,12481802.68,10930445.01,13084492.97,13076322.69,13957845.09,15588491.65,17781610.04,19205100.72,22428309.67,19596998.32,21804444.75,27622669.21,31145106.75,26110413.85,26493675.71,25021024.4,22132931.15,24514121.82,25307196.14,26018549.25,23473180.22
United States,China,Export,7469572.096,8767095.808,9286686.72,11748110.34,11977746.43,12804865.02,14257941.5,13117665.28,16184679.3,19181936.06,22127509.05,28367720.78,34427686.53,41190674.56,55224097.11,65237883.48,71456411.76,69575613.27,91910977.24,104121383,110516536,121721075.5,123675622.8,116071708.8,115594770.3,129797515.3,120147865.7,106626645.1,124648507.6
United States,Germany,Export,21229889.54,18946101.25,19226243.07,22370009.09,23468775.42,24459616.26,26633981.95,26786594.82,29445967.88,29994488.07,26628846.44,28830850.53,31411579.74,34175631.45,41313146.99,49611212.29,54672136.76,43220924.95,47994835.94,48939214.66,48372035.06,46862995.13,49028160.36,49641402.08,49369909.89,53561607.44,57332501.66,59797035.62,57163225.96
United States,Japan,Export,47748661.25,47932751.87,53453447.17,64259694.59,67514642.43,65657896.96,57884418.05,57480835.07,64921645.31,57449648.01,51447934.38,52003765.36,53568570.37,54679310.63,59647551.3,62663665.28,66573421.9,51178320.34,60469045.59,65791776.72,69971994.97,65213790.41,66825973.37,62441249.7,63245045.91,67582504.04,75226085.62,74650662.38,64090703.43
United States,"Korea, Rep.",Export,14629694.46,14775542.78,18028326.91,25413122.05,26582874.11,25066618.88,16538268.67,22949359.62,27829955.69,22180578.48,22575713.54,24072540.15,26186727.89,27571602.53,32455280.55,34702617.75,34806587.29,28639747.63,38820633.04,43461393.73,42282528.92,41686042.11,44470809.21,43444787.48,42260903.97,48350051.98,56504532.09,56894210.75,51212196.8
United States,Malaysia,Export,4395827.2,6064452.096,6964612.608,8818397.184,8521248.256,10827752.45,8952867.84,9079043.072,10937478.25,9357685.665,10343653.6,10914061.71,10850173.92,10460833.17,12550114.96,11679802.38,12962946.26,10401451.21,14079148.38,14263433,12814764.09,13003614.26,13067717.32,12276688.16,11774071.66,12872508.83,13011946.28,13120000.93,12498459.27
United States,Singapore,Export,9622401.024,11675140.1,13021555.71,15318104.06,16685331.46,17727426.56,15673477.12,16245959.68,17806130.48,17651439.91,16217778.35,16560120.07,19397316.1,20466061.4,24682843.11,26284361.56,28809348.2,22278008.52,29008534.77,31261589.78,30499150.7,30621735.5,30204821.69,28434135.06,26782281.69,29615550.84,32729752.7,31519012.13,27050553.87
United States,Thailand,Export,3982309.632,3768473.856,4861001.728,6401909.76,7211284.992,7357190.144,5233359.36,4983523.84,6617492.801,5989356.133,4860186.15,5835277.739,6368285.955,7256616.259,8152469.452,8444875.614,9066833.766,6920200.246,8976295.588,10929766.59,10887757.02,11797149.54,11809675.06,11230091.51,10500771.98,11022601.04,12447467.24,13307832.31,11169543.49
United States,Vietnam,Export,4485.349,6926.419,172222.784,252859.216,616046.208,277774.688,274216.544,290658.336,367615.047,460275.876,580196.885,1323781.554,1105470.811,1193144.538,1100211.62,1902669.135,2789930.292,3107585.907,3705548.752,4315220.42,4622882.579,5036142.937,5734356.953,7087524.038,10098439.06,8133980.176,9675294.314,10883073.32,9989334.121
Australia,China,Import,1688217.04,1957453.351,2441058.951,2825025.86,3188833.773,3475577.52,3626080.044,4239364.017,5568963.786,5625307.52,7332895.992,9832372.563,14073256.13,17341183.14,20327744.31,25898023.4,31588260.66,29211722.24,38004358.37,43447909.79,45996260.7,44861052.38,46854594.14,46292722.37,44241021.65,49971610.46,57699421.91,56946556.26,61053938.67
Australia,Germany,Import,2323022.428,2414126.212,2946358.617,3770337.168,3600773.435,3362850.116,3564337.068,3668180.659,3582934.728,3617826.795,4183636.282,5459211.08,6275615.599,6935907.523,7071564.21,8514043.513,10003689.06,8623970.189,10017221.37,10952151.83,11628403.42,10937428.85,10706487.53,9275084.622,10079657.77,10767694.33,11623555.32,10527572.91,9824953.382
Australia,Japan,Import,7224098.863,7977474.477,8777469.693,8722929.727,7858626.743,8366563.154,8239439.341,8653594.28,9413281.646,8344980.163,9062528.863,11131502.86,12881767.61,13765147.42,13711753.99,15907701.09,18049342.72,13476040.13,17526279.44,18577828.6,19712940.86,17946305.29,15478594.69,14793098.32,14593655.14,16523672.76,17351100.06,15471958.13,12733897.32
